0120903|X-Men|2000|PG-13|2000-07-14|104|Action, Adventure, Sci-Fi|Bryan Singer|Tom DeSanto, Bryan Singer, David Hayter|Patrick Stewart, Hugh Jackman, Ian McKellen|In a world where mutants (evolved super-powered humans) exist and are discriminated against, two groups form for an inevitable clash: the supremacist Brotherhood, and the pacifist X-Men.|English|United States|13 wins & 26 nominations|64|7.4|591352|2004-12-07|157299718|https://en.wikipedia.org/wiki/X-Men_(film)|
0120912|Men in Black II|2002|PG-13|2002-07-03|88|Action, Adventure, Comedy|Barry Sonnenfeld|Lowell Cunningham, Robert Gordon, Barry Fanaro|Tommy Lee Jones, Will Smith, Rip Torn|Agent Jay is sent to find Agent Kay and restore his memory after the re-appearance of a case from Kay's past.|English|United States|4 wins & 16 nominations|49|6.2|358177|2004-05-06|193735288|https://en.wikipedia.org/wiki/Men_in_Black_II|
0120913|Titan A.E.|2000|PG|2000-06-16|94|Animation, Action, Adventure|Don Bluth, Gary Goldman|Hans Bauer, Randall McCormick, Ben Edlund|Matt Damon, Drew Barrymore, Bill Pullman|A young man learns that he has to find a hidden Earth ship before an enemy alien species does in order to secure the survival of humanity.|English, Mandarin|United States|1 win & 6 nominations|48|6.6|60231|2000-11-07|22753426|https://en.wikipedia.org/wiki/Titan_A.E.|
0120917|The Emperor's New Groove|2000|G|2000-12-15|78|Animation, Adventure, Comedy|Mark Dindal|Chris Williams, Mark Dindal, David Reynolds|David Spade, John Goodman, Eartha Kitt|Emperor Kuzco is turned into a llama by his ex-administrator Yzma, and must now regain his throne with the help of Pacha, the gentle llama herder.|English|United States, France|Nominated for 1 Oscar. 7 wins & 27 nominations total|70|7.4|191883|2005-10-11|89636687|https://en.wikipedia.org/wiki/The_Emperor%27s_New_Groove|
0121164|Corpse Bride|2005|PG|2005-09-23|77|Animation, Drama, Family|Tim Burton, Mike Johnson|Tim Burton, Carlos Grangel, John August|Johnny Depp, Helena Bonham Carter, Emily Watson|When a shy groom practices his wedding vows in the inadvertent presence of a deceased young woman, she rises from the grave assuming he has married her.|English|United States, United Kingdom|Nominated for 1 Oscar. 9 wins & 30 nominations total|83|7.3|258368|2006-01-31|53359111|https://en.wikipedia.org/wiki/Corpse_Bride|
0121765|Star Wars: Episode II - Attack of the Clones|2002|PG|2002-05-16|142|Action, Adventure, Fantasy|George Lucas|George Lucas, Jonathan Hales, John Ostrander|Hayden Christensen, Natalie Portman, Ewan McGregor|Ten years after initially meeting, Anakin Skywalker shares a forbidden romance with Padmé Amidala, while Obi-Wan Kenobi investigates an assassination attempt on the senator and discovers a secret clone army crafted for the Jedi.|English|United States|Nominated for 1 Oscar. 19 wins & 65 nominations total|54|6.5|670516|2005-03-22|310676740|https://en.wikipedia.org/wiki/Star_Wars:_Episode_II_%E2%80%93_Attack_of_the_Clones|
0121766|Star Wars: Episode III - Revenge of the Sith|2005|PG-13|2005-05-19|140|Action, Adventure, Fantasy|George Lucas|George Lucas, John Ostrander, Jan Duursema|Hayden Christensen, Natalie Portman, Ewan McGregor|Three years into the Clone Wars, the Jedi rescue Palpatine from Count Dooku. As Obi-Wan pursues a new threat, Anakin acts as a double agent between the Jedi Council and Palpatine and is lured into a sinister plan to rule the galaxy.|English|United States|Nominated for 1 Oscar. 26 wins & 63 nominations total|68|7.5|742974|2005-11-01|380270577|https://en.wikipedia.org/wiki/Star_Wars:_Episode_III_%E2%80%93_Revenge_of_the_Sith|
0122459|Return to Me|2000|PG|2000-04-07|115|Comedy, Drama, Romance|Bonnie Hunt|Bonnie Hunt, Don Lake, Andrew Stern|David Duchovny, Minnie Driver, Carroll O'Connor|A man who falls in love with the woman who received his wife's heart must decide which woman it is who holds his heart.|English, Italian|United States|2 wins & 2 nominations|54|6.9|20610|2001-11-13|32722798|https://en.wikipedia.org/wiki/Return_to_Me|
0125022|Heartbreakers|2001|PG-13|2001-03-23|123|Comedy, Crime, Romance|David Mirkin|Robert Dunn, Paul Guay, Stephen Mazur|Sigourney Weaver, Jennifer Love Hewitt, Gene Hackman|A mother and daughter con team seduce and scam wealthy men.|English, Russian|United States|4 nominations|47|6.2|53372|2002-04-02|40336607|https://en.wikipedia.org/wiki/Heartbreakers_(2001_film)|
0126029|Shrek|2001|PG|2001-05-18|90|Animation, Adventure, Comedy|Andrew Adamson, Vicky Jenson|William Steig, Ted Elliott, Terry Rossio|Mike Myers, Eddie Murphy, Cameron Diaz|A mean lord exiles fairytale creatures to the swamp of a grumpy ogre, who must go on a quest and rescue a princess for the lord in order to get his land back.|English|United States, Japan|Won 1 Oscar. 40 wins & 60 nominations total|84|7.9|642706|2003-08-19|267665011|https://en.wikipedia.org/wiki/Shrek|
